City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Kahului,US,2022-01-22 16:37:43,20.8947,-156.47,74.84,82,20,10.36
210,Osmaniye,TR,2022-01-22 16:37:44,37.0742,36.2478,42.04,79,100,9.1
211,Olinda,BR,2022-01-22 16:37:44,-8.0089,-34.8553,85.73,62,20,9.22
212,Aklavik,CA,2022-01-22 16:37:45,68.2191,-135.0107,-4.97,77,100,12.66
213,Fangshan,CN,2022-01-22 16:37:45,39.6983,115.9925,21.06,83,25,2.55
214,Victoria,HK,2022-01-22 16:35:04,22.2855,114.1577,66.16,88,100,7.0
215,Dungarvan,IE,2022-01-22 16:37:46,52.0881,-7.6253,45.64,89,34,3.0
216,Arman,RU,2022-01-22 16:37:46,59.7,150.1667,-9.72,81,3,8.55
217,Sioux Lookout,CA,2022-01-22 16:37:46,50.1001,-91.917,-9.02,70,40,9.22
218,Pochutla,MX,2022-01-22 16:37:47,15.7432,-96.4661,83.82,42,0,5.19
219,Bethel,US,2022-01-22 16:37:47,41.3712,-73.414,28.18,59,0,5.75
220,Lubango,AO,2022-01-22 16:37:47,-14.9172,13.4925,70.29,36,90,5.39
221,Mazagao,BR,2022-01-22 16:37:48,-0.115,-51.2894,93.25,51,47,5.14
222,Iwaki,JP,2022-01-22 16:37:48,37.05,140.8833,32.02,76,89,5.37
223,Abu Samrah,SY,2022-01-22 16:37:48,35.3029,37.1841,45.19,51,20,7.34
224,Flinders,AU,2022-01-22 16:37:49,-34.5833,150.8552,68.2,87,22,5.57
225,San Isidro,PE,2022-01-22 16:37:49,-12.1167,-77.05,78.51,75,75,1.01
226,Bonthe,SL,2022-01-22 16:38:49,7.5264,-12.505,84.61,46,3,13.13
227,Ginir,ET,2022-01-22 16:38:50,7.1333,40.7,62.04,19,68,5.97
228,Apastovo,RU,2022-01-22 16:38:50,55.2029,48.5109,19.71,95,100,15.46
229,Russell,US,2022-01-22 16:38:50,32.3502,-85.1999,42.51,58,17,4.61
230,Iquique,CL,2022-01-22 16:35:32,-20.2208,-70.1431,71.64,72,53,7.7
231,Tuatapere,NZ,2022-01-22 16:38:51,-46.1333,167.6833,54.82,87,29,6.4
232,Vila Velha,BR,2022-01-22 16:36:09,-20.3297,-40.2925,84.15,80,40,3.0
233,Boende,CD,2022-01-22 16:38:51,-0.2167,20.8667,83.17,42,35,3.47
234,Namibe,AO,2022-01-22 16:38:52,-15.1961,12.1522,76.17,74,59,10.6
235,Taoudenni,ML,2022-01-22 16:38:52,22.6783,-3.9836,77.72,14,71,13.35
236,Guerrero Negro,MX,2022-01-22 16:38:53,27.9769,-114.0611,61.27,73,3,2.91
237,Poshekhonye,RU,2022-01-22 16:38:53,58.4993,39.1353,11.08,96,91,6.91
238,Pindiga,NG,2022-01-22 16:38:53,9.9833,10.9333,80.62,18,11,6.51
239,Surt,LY,2022-01-22 16:38:54,31.2089,16.5887,58.64,56,4,14.2
240,Teguldet,RU,2022-01-22 16:38:54,57.3064,88.1667,2.95,98,100,2.71
241,Valparaiso,CL,2022-01-22 16:38:54,-33.0393,-71.6273,79.03,39,0,5.75
242,Sturgeon Falls,CA,2022-01-22 16:38:55,46.3646,-79.9326,22.08,91,100,16.42
243,Peleduy,RU,2022-01-22 16:38:55,59.6289,112.7406,-9.35,100,99,3.06
244,Winnemucca,US,2022-01-22 16:38:55,40.973,-117.7357,30.11,74,0,0.0
245,Shache,CN,2022-01-22 16:38:56,38.4167,77.2406,24.71,44,100,3.53
246,Boundiali,CI,2022-01-22 16:38:56,9.5217,-6.4869,90.77,8,7,7.87
247,Saint-Francois,FR,2022-01-22 16:38:57,46.4154,3.9054,38.48,81,100,4.61
248,Narsaq,GL,2022-01-22 16:38:57,60.9167,-46.05,8.82,65,0,5.28
249,Coahuayana,MX,2022-01-22 16:38:57,18.7333,-103.6833,80.08,44,40,3.11
250,Porto Nacional,BR,2022-01-22 16:38:58,-10.7081,-48.4172,89.6,55,3,3.02
251,Isla Vista,US,2022-01-22 16:38:58,34.4133,-119.861,64.35,40,0,2.91
252,Bandipur,NP,2022-01-22 16:38:58,27.9333,84.4167,49.1,73,90,3.24
253,Ambon,ID,2022-01-22 16:38:59,-3.6954,128.1814,75.34,94,20,3.44
254,Cervo,ES,2022-01-22 16:38:59,43.6702,-7.4101,50.2,74,4,18.07
255,Kodiak,US,2022-01-22 16:39:00,57.79,-152.4072,38.71,93,100,4.61
256,Oranjemund,NA,2022-01-22 16:39:00,-28.55,16.4333,82.04,52,72,8.32
257,Mitsamiouli,KM,2022-01-22 16:39:00,-11.3847,43.2844,82.69,78,40,11.5
258,Valdez,EC,2022-01-22 16:39:01,1.2492,-78.9831,79.05,80,83,7.87
259,Hervey Bay,AU,2022-01-22 16:39:01,-25.2986,152.8535,68.11,81,33,11.54
260,Kensington,AU,2022-01-22 16:39:02,-33.9167,151.2167,68.13,88,75,1.01
261,Iskateley,RU,2022-01-22 16:39:02,67.6803,53.1512,9.32,98,100,3.67
262,Sergeyevka,KZ,2022-01-22 16:39:03,53.88,67.4158,3.83,95,100,5.08
263,Upernavik,GL,2022-01-22 16:39:03,72.7868,-56.1549,-7.17,71,96,3.36
264,Novo Aripuana,BR,2022-01-22 16:39:03,-5.1206,-60.3797,87.01,69,85,2.17
265,Hambantota,LK,2022-01-22 16:39:04,6.1241,81.1185,74.98,71,29,4.34
266,La Macarena,CO,2022-01-22 16:39:04,2.1837,-73.7849,94.82,32,41,6.67
267,Namatanai,PG,2022-01-22 16:39:04,-3.6667,152.4333,79.43,81,77,2.64
268,Los Algarrobos,PA,2022-01-22 16:39:05,8.5,-82.4333,88.45,66,20,5.75
269,Exeter,GB,2022-01-22 16:39:01,50.7236,-3.5275,45.12,79,75,5.75
