City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Moerai,PF,79.88,overcast clouds,-22.4333,-151.3333,Le Manotel
542,Teahupoo,PF,71.56,overcast clouds,-17.8333,-149.2667,Vanira Lodge
543,Alappuzha,IN,80.96,overcast clouds,9.49,76.3264,Panoramic Sea Resort
549,Wanning,CN,79.16,scattered clouds,18.8003,110.3967,Paradise Hotel
551,Te Anau,NZ,70.16,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
553,Sechura,PE,73.02,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
556,Sena Madureira,BR,71.53,overcast clouds,-9.0656,-68.6569,Hotel Central
557,Singarayakonda,IN,82.36,clear sky,15.25,80.0333,srinu tiffen center
558,Qui Nhon,VN,77.92,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
573,San Policarpo,PH,80.8,broken clouds,12.1791,125.5072,Agapita M. Nicart
577,Tecoanapa,MX,74.86,clear sky,16.5167,-98.75,Hotel Manglares
578,Mount Isa,AU,82.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
579,Wewak,PG,83.7,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
587,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
588,Phibun Mangsahan,TH,83.08,clear sky,15.2447,105.2291,ซันนี่ รีสอร์ท
599,Dong Hoi,VN,78.94,broken clouds,17.4833,106.6,Nam Long Hotel
604,Manadhoo,MV,81.25,broken clouds,5.7667,73.3833,Bon Abri maldives
605,Masterton,NZ,75.96,broken clouds,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
606,Saint-Georges,GD,77.18,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
607,Plettenberg Bay,ZA,77.27,clear sky,-34.0527,23.3716,Thanda Vista B&B
611,Camopi,GF,70.61,overcast clouds,3.1655,-52.3158,La pousada
614,Charagua,BO,70.81,overcast clouds,-19.8,-63.2167,Hotel
624,Akyab,MM,75.54,scattered clouds,20.15,92.9,Hotel Memory
627,Hualmay,PE,71.08,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
629,Sabang,ID,81.32,broken clouds,5.8933,95.3214,Hotel Citra
630,Pontes E Lacerda,BR,73.69,scattered clouds,-15.2261,-59.3353,Hotel Bressan
634,Burnie,AU,74.95,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
636,Chapada Dos Guimaraes,BR,71.26,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
637,Acapulco,MX,75.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
641,Soyo,AO,75.2,scattered clouds,-6.1349,12.3689,Hotel Mpampa
642,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
649,Santa Cruz,BO,74.66,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
652,Iracoubo,GF,74.89,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
658,Praia,CV,72.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
663,Urucara,BR,73.92,heavy intensity rain,-2.5364,-57.76,Pousada Maria Bonita
664,Manzanillo,CU,73.18,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
668,Pathein,MM,83.98,few clouds,16.7833,94.7333,New Pammawaddy Hotel
669,Mahayag,PH,84.36,broken clouds,8.1183,123.4455,Eriberta Spring
672,Salcedo,PH,82.42,few clouds,12.8105,121.4674,Yamaji Freeman Farm
675,Binabalian,PH,80.53,broken clouds,16.4202,119.9279,Sundowners Vacation Villas
677,Turbo,CO,77.2,overcast clouds,8.0937,-76.7269,Hotel Plaza Manfortt
678,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
679,Maldonado,UY,72.79,clear sky,-34.6667,-54.9167,La Cimarrona
682,Quelimane,MZ,73.96,light rain,-17.8786,36.8883,Hotel Flamingo
683,Tsiroanomandidy,MG,72.77,overcast clouds,-18.7667,46.0333,Hotel Ravinala
685,Koungou,YT,80.31,moderate rain,-12.7336,45.2042,Villa Netibor
688,Alyangula,AU,84.07,thunderstorm,-13.8483,136.4192,Groote Eylandt Lodge
689,Chokwe,MZ,72.39,broken clouds,-24.5333,32.9833,Complexo Sonho Real
693,Gopalpur,IN,77.9,clear sky,19.2667,84.9167,Gopalpur Palm Resort
698,Teodoro Sampaio,BR,78.48,scattered clouds,-22.5325,-52.1675,MINI HOTEL
